japanese,reading,english,type,frequency
法律,houritsu,law,noun,4.85
訪ねる,tazuneru,to visit; to call on; to pay a visit to,verb,3.3
亡くなる,nakunaru,to die,verb,3.57
貿易,boueki,trade (foreign),noun,4.14
僕,boku,I; me,pronoun,5.59
翻訳,honyaku,translation,noun,4.61
漫画,manga,cartoon; comic; comic strip; manga,noun,5.34
味,aji,flavor; flavour; taste,noun,5.0
眠い,nemui,sleepy; drowsy; somnolent,adjective,3.79
眠る,nemuru,to sleep (not necessarily lying down),verb,3.93
夢,yume,dream,noun,5.23
無理,muri,unreasonable; unnatural; unjustifiable,adjective,5.34
娘,musume,daughter,noun,5.24
滑る,suberu,to glide; to slide (e.g. on skis); to slip,verb,3.41
噛む,kamu,to bite,verb,3.65
乾く,kawaku,to get dry,verb,3.41
看護婦,kangofu,(female) nurse,noun,4.16
簡単,kantan,simple; easy; uncomplicated,adjective,5.31
代,dai,charge; cost; price,noun,5.42
間,aida,space (between); gap; interval; distance,noun,5.55
間に合う,maniau,to be in time (for),verb,3.91
間違える,machigaeru,to make a mistake (in); to commit an error (e.g. in calculation),verb,3.72
関係,kankei,relation; relationship; connection,noun,5.6
ついて,tsuite,about; concerning; as to; regarding,particle,5.31
お見舞い,omimai,calling on someone who is ill; enquiry; inquiry,noun,3.83
お子さん,okosan,child,noun,3.68
お嬢さん,ojousan,(another's) daughter,noun,3.75
お宅,otaku,your house; your home; your family,noun,4.18
そんなに,sonnani,so much; so; like that,adverb,4.98
嬉しい,ureshii,happy; glad; pleased; delighted; overjoyed,adjective,4.99
軒,ken,counter for buildings (esp. houses),counter,4.16
オーバー,oobaa,overcoat,noun,4.3
隅,sumi,corner; nook; recess,noun,3.97
経験,keiken,experience,noun,5.05
計画,keikaku,plan; project; schedule; scheme; program; programme,noun,5.19
月,tsuki,moon,noun,6.19
喧嘩,kenka,quarrel; brawl; fight; squabble; scuffle; argument,noun,4.5
コンピュータ,konpyuuta,computer,noun,4.43
故障,koshou,breakdown; failure; fault; accident; out of order,noun,4.3
最も,mottomo,most; extremely,adverb,5.02
伺う,ukagau,to ask; to inquire; to hear; to be told,verb,3.02
支度,shitaku,preparation; arrangements,noun,3.76
止める,tomeru,to stop; to turn off,verb,4.26
こと,koto,thing; matter,noun,6.67
式,shiki,equation; formula; expression,noun,5.22
しかる,shikaru,to scold; to chide; to rebuke; to reprimand,verb,3.22
邪魔,jama,hindrance; obstacle; nuisance; disturbance; interruption; interference,noun,4.62
出席,shusseki,attendance; presence; appearance,noun,4.28
出発,shuppatsu,departure,noun,4.44
できるだけ,dekirudake,as much as one can; as much as possible; if at all possible,adverb,4.12
準備,junbi,preparation; arrangements; getting ready; provision; setup; reserving,noun,4.97
承知,shouchi,knowledge; awareness,noun,4.06
招待,shoutai,invitation,noun,4.53
挨拶,aisatsu,greeting; greetings; salutation; salute; polite set phrase used when meeting or parting from somebody,noun,4.55
案内,annai,guidance; leading (the way); showing around,noun,4.71
食事,shokuji,meal; dinner,noun,4.89
心配,shinpai,worry; concern; anxiety; uneasiness; fear,noun,5.05
真面目,majime,serious; honest; sober; grave; earnest; steady,adjective,4.55
親,oya,parent; parents; mother and father,noun,4.96
嘘,uso,lie; fib; falsehood; untruth,noun,5.06
運転,unten,operation (of a machine etc.); operating; running; run,noun,5.04
運動,undou,exercise; physical training; work-out,noun,5.02
遠慮,enryo,reserve; constraint; restraint; modesty; diffidence; hesitation; holding back; discretion; tact; thoughtfulness,noun,4.19
会,kai,meeting; assembly; party; gathering; conference; athletic meet,noun,5.59
みんな,minna,all; everyone; everybody,pronoun,5.62
世話,sewa,looking after; help; aid; assistance,noun,4.11
是非,zehi,certainly; without fail,adverb,4.71
生産,seisan,production; manufacture,noun,4.9
全然,zenzen,(not) at all; (not) in the slightest,adverb,5.08
素晴らしい,subarashii,wonderful; splendid; magnificent,adjective,4.92
相談,soudan,consultation; discussion; discussing; asking (somebody) for advice,noun,4.78
たいてい,taitei,mostly; ordinarily; usually; generally,adverb,3.98
通り,toori,avenue; street; way; road,noun,5.32
輸出,yushutsu,export; exportation,noun,4.22
輸入,yunyuu,import; importation; introduction,noun,4.43
入院,nyuuin,hospitalization; hospitalisation,noun,4.32
入学,nyuugaku,entry to school or university; matriculation; enrolment (in university etc.) (enrollment),noun,4.44
濡れる,nureru,to get wet,verb,3.33
熱心,nesshin,zealous; enthusiastic; ardent; fervent; keen; eager,adjective,4.11
工場,koujou,factory; plant; mill; workshop,noun,4.73
明日,ashita,tomorrow,noun,5.2
空く,suku,to become less crowded; to thin out; to get empty,verb,3.22
彼ら,karera,they; them,pronoun,5.03
終わり,owari,the end,noun,5.04
格好,kakkou,shape; form; figure; posture; pose,noun,4.4
匂い,nioi,odour; odor; scent; smell; stench,noun,4.56
値段,nedan,price; cost,noun,4.73
のど,nodo,throat,noun,3.82
船,fune,ship; boat; watercraft; vessel; seaplane,noun,4.92
褒める,homeru,to praise; to commend; to compliment; to speak well of; to speak highly of,verb,3.44
町,machi,town; block; neighbourhood; neighborhood,noun,5.39
放送,housou,broadcast; broadcasting,noun,5.24
喜ぶ,yorokobu,to be delighted; to be glad; to be pleased,verb,4.21
硬い,katai,hard; solid; tough,adjective,3.84
再来月,saraigetsu,month after next,noun,2.05
再来週,saraishuu,week after next,noun,2.75
捨てる,suteru,to throw away; to cast away; to dump; to discard,verb,4.24
レポート,repooto,report; paper,noun,4.33
床屋,tokoya,barbershop; barber shop; barber,noun,3.27
学部,gakubu,department of a university,noun,4.09
赤ん坊,akanbou,baby; infant,noun,3.7
退院,taiin,leaving hospital; discharge from hospital,noun,3.74
だいぶ,daibu,considerably; greatly; a lot,adverb,4.43
漬ける,tsukeru,to soak (in); to steep; to dip; to dunk,verb,2.6
つく,tsuku,to be lit (e.g. electricity comes on); to be lighted,verb,4.86
すり,suri,pickpocket,noun,3.92
拝見,haiken,seeing; looking at,noun,3.86
探す,sagasu,to search for; to look for; to hunt for; to seek,verb,4.68
治す,naosu,to cure; to heal,verb,3.77
ひげ,hige,moustache; beard; whiskers,noun,4.41
増える,fueru,to increase; to multiply,verb,4.52
見つかる,mitsukaru,to be found; to be discovered,verb,4.22
見つける,mitsukeru,to discover; to find (e.g. an error in a book); to come across; to detect; to spot,verb,4.34
向かう,mukau,to face,verb,4.52
柔らかい,yawarakai,soft; tender; pliant; supple; limber; limp,adjective,3.84
慣れる,nareru,to get used to; to grow accustomed to; to become familiar with,verb,3.89
けど,kedo,but; however; although,conjunction,6.32
この間,konoaida,the other day; lately; recently; during this period,noun,4.24
この頃,konogoro,these days; nowadays; now; at present; recently; lately,noun,5.31
それに,soreni,besides; in addition; also; moreover,conjunction,4.0
それほど,sorehodo,to that degree; to that extent; that much,adverb,4.35
ちっとも,chittomo,(not) at all; (not) a bit; (not) in the least; (not) in the slightest,adverb,3.49
起こす,okosu,to raise; to raise up; to set up; to pick up,verb,4.35
久しぶり,hisashiburi,a long time (since the last time); first in a long time,noun,4.66
おっしゃる,ossharu,to say; to speak; to tell; to talk,verb,3.72
区,ku,ward; borough; city (in Tokyo),noun,5.25
ご〜,go,honorific/polite/humble prefix,prefix,5.8
子,ko,child,noun,5.56
集まる,atsumaru,to gather; to collect; to assemble,verb,4.32
上がる,agaru,to rise; to go up; to come up; to ascend; to be raised,verb,4.48
員,in,member,suffix,5.18
下がる,sagaru,to come down; to go down; to fall; to drop; to sink; to get lower,verb,4.05
楽しむ,tanoshimu,to enjoy (oneself),verb,4.39
製,sei,-made; make,suffix,4.88
赤ちゃん,akachan,baby; infant,noun,4.56
怒る,okoru,to get angry; to get mad,verb,4.15
〜様,sama,Mr.; Mrs.; Miss; Ms.,suffix,5.52
落ちる,ochiru,to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon); to fall onto (e.g. light or one's gaze); to be used in a certain place (e.g. money),verb,4.47
答え,kotae,answer; reply; response; solution,noun,5.0
音,oto,sound; noise; report,noun,5.24
昼間,hiruma,daytime; during the day; time from sunrise until sunset; diurnal period,noun,4.21
途中,tochuu,on the way; en route; halfway,noun,4.91
落とす,otosu,to drop; to lose; to let fall; to shed (light); to cast (one's gaze); to pour in (liquid); to leave behind,verb,4.24
終わる,owaru,to end; to come to an end; to close; to finish,verb,4.77
決まる,kimaru,to be decided; to be settled,verb,4.04
込む,komu,to be crowded; to be packed,verb,3.68
ご馳走,gochisou,feast; treating (someone),noun,3.44
真ん中,mannaka,middle; centre; center; midpoint; heart,noun,4.31
ございます,gozaimasu,to be; to exist,verb,5.44
おいでになる,oideninaru,to be,verb,4.23
妻,tsuma,wife,noun,5.02
受ける,ukeru,to receive; to get,verb,4.82
移る,utsuru,to move (house); to transfer (department),verb,3.74
一杯,ippai,amount necessary to fill a container (e.g. cupful spoonful etc.); drink (usu. alcoholic),noun,4.79
過ぎる,sugiru,to pass through; to pass by; to go beyond,verb,4.63
遊び,asobi,playing,noun,4.8
島,shima,island,noun,4.95
首,kubi,neck,noun,4.8
味噌,miso,miso; fermented condiment usu. made from soybeans,noun,4.08
構う,kamau,to mind; to care about; to be concerned about; to have a regard for,verb,2.95
内,uchi,inside; within,noun,5.45
上げる,ageru,to raise; to elevate,verb,4.46
易い,yasui,easy,adjective,3.71
木綿,momen,cotton (material),noun,3.19
出す,dasu,to take out; to get out,verb,4.97
忘れ物,wasuremono,lost article; something forgotten,noun,3.54
〜家,ka,-ist; -er,suffix,5.82
〜君,kun,Mr (junior); master; boy,suffix,5.47
立てる,tateru,to stand up; to put up; to set up; to erect; to raise,verb,4.1
お土産,omiyage,local specialty or souvenir bought as a gift while travelling,noun,4.17
